LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,total_fees,pnl_net,elapsed_s
0.001,0.7,0.1,209.12831494665556,0.5592417061611374,422,236,186,0.5170233579151141,847.09751838216,409.12831494665556,3461,94.95928910376409,209.12831494665556,12.866107333
0.001,0.7,0.125,-71.21287739792697,0.5105263157894737,190,97,93,0.5158849278952227,266.02584803267507,128.78712260207303,3504,25.03498516342411,-71.21287739792697,12.945301791
0.0012,0.5,0.03,6008.79618285761,0.6340694006309149,317,201,116,0.18391980997265162,6208.79618285761,6208.79618285761,842,159.91645873231812,6008.79618285761,12.63809475
0.0012,0.5,0.05,13854.238098833444,0.6232686980609419,361,225,136,0.23710023378280387,14054.238098833444,14054.238098833444,838,387.03646921621197,13854.238098833444,13.178054208
0.0012,0.5,0.075,15130.886071574996,0.6276923076923077,325,204,121,0.2097569653639428,15330.886071574996,15330.886071574996,844,450.8244143026274,15130.886071574996,13.496336833
0.0012,0.5,0.1,18237.8268474843,0.6112531969309463,391,239,152,0.335571892997103,18437.8268474843,18437.8268474843,838,534.9345210539908,18237.8268474843,13.470667792
0.0012,0.5,0.125,17234.738391971066,0.6269113149847095,327,205,122,0.34429472296925445,17434.738391971066,17434.738391971066,844,505.0465936065517,17234.738391971066,13.192810083
0.0012,0.55,0.03,51889.94080505146,0.6549295774647887,852,558,294,0.20260842502191034,52089.94080505146,52089.94080505146,1380,1405.617682870819,51889.94080505146,13.580340708
0.0012,0.55,0.05,58159.51777009543,0.6518264840182648,876,571,305,0.30081206803791993,58359.51777009543,58359.51777009543,1378,1607.8322395276973,58159.51777009543,13.282875125
0.0012,0.55,0.075,59714.1520908016,0.6509758897818599,871,567,304,0.36702996016449047,59914.1520908016,59914.1520908016,1377,1643.7730933788007,59714.1520908016,13.130417916
0.0012,0.55,0.1,61723.422360204786,0.6505073280721533,887,577,310,0.3417314989800804,61923.422360204786,61923.422360204786,1379,1730.6492843253152,61723.422360204786,13.660879875
0.0012,0.55,0.125,60117.82603498634,0.646188850967008,879,568,311,0.43307934467799586,60317.82603498634,60317.82603498634,1376,1650.526316483019,60117.82603498634,13.44629825
0.0012,0.6,0.03,48731.30032044782,0.6528066528066528,962,628,334,0.18185062205162902,48931.30032044782,48931.30032044782,1693,1498.291329394041,48731.30032044782,13.298597041
0.0012,0.6,0.05,53448.376813606905,0.657243816254417,849,558,291,0.33153378993704374,53648.376813606905,53648.376813606905,1680,1630.1186383439458,53448.376813606905,12.516823208
0.0012,0.6,0.075,61956.99294010633,0.6423963133640553,1085,697,388,0.36614743465859917,62156.99294010633,62156.99294010633,1686,1946.237995724786,61956.99294010633,13.321089583
0.0012,0.6,0.1,51721.94280944883,0.6619519094766619,707,468,239,0.4478241255868445,51921.94280944883,51921.94280944883,1692,1561.1215500958424,51721.94280944883,9.428694792
0.0012,0.6,0.125,52498.23101876758,0.6695778748180495,687,460,227,0.47880185396692304,52698.23101876758,52698.23101876758,1698,1579.2839508404138,52498.23101876758,9.187653667
0.0012,0.65,0.03,34239.754929994946,0.6658291457286433,796,530,266,0.3334862762846152,34439.754929994946,34439.754929994946,1962,1068.7544859978314,34239.754929994946,13.471412959
0.0012,0.65,0.05,54246.54990123377,0.6413427561837456,1132,726,406,0.3420998035711533,54446.54990123377,54446.54990123377,1925,1810.7119318986986,54246.54990123377,9.838505417
0.0012,0.65,0.075,59703.79003665427,0.6359967715899919,1239,788,451,0.3321810032906442,59903.79003665427,59903.79003665427,1922,2012.3498968020083,59703.79003665427,9.960349833
0.0012,0.65,0.1,55732.381673873235,0.6731770833333334,768,517,251,0.38161798904008165,55932.381673873235,55932.381673873235,1965,1768.6784957347845,55732.381673873235,9.488569625
0.0012,0.65,0.125,61364.06069734889,0.6369426751592356,1256,800,456,0.41042826472071914,61564.06069734889,61564.06069734889,1920,2106.9865152129023,61364.06069734889,9.536134292
0.0012,0.7,0.03,25046.311301708392,0.6605839416058394,822,543,279,0.38883384029156276,25333.12338717679,25246.311301708392,2257,867.5772953978989,25046.311301708392,13.6663685
0.0012,0.7,0.05,48508.606473772685,0.6647509578544061,1044,694,350,0.3578753349228757,48795.418559241094,48708.606473772685,2224,1727.063652939983,48508.606473772685,13.012726083
0.0012,0.7,0.075,45533.357808715155,0.671990171990172,814,547,267,0.38310044265765275,45820.169894183564,45733.357808715155,2258,1571.9187074581541,45533.357808715155,13.596399
0.0012,0.7,0.1,52214.35387405273,0.6779252110977081,829,562,267,0.4602254045612058,52501.16595952114,52414.35387405273,2251,1796.2488267359176,52214.35387405273,9.535082833
0.0012,0.7,0.125,51749.51256360242,0.6741293532338308,804,542,262,0.441772407539371,52036.324649070826,51949.51256360242,2250,1770.1377302385838,51749.51256360242,9.515348459
0.0014,0.5,0.03,4645.173788552908,0.6165644171779141,326,201,125,0.15148571047875523,4845.173788552908,4845.173788552908,568,140.83030034799089,4645.173788552908,11.541994584
