LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,MAX_POSITION_FRACTION,SPREAD_CAPTURE_THRESHOLD,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,total_fees,gross_pnl,pnl_net,elapsed_s
0.0008,0.55,0.1,0.975,32389.546438312012,0.7612456747404844,289,220,69,0.34912323188,32718.712316955134,32589.546438312012,839,0.6282608695652174,0.5432525951557093,171,8,8,1000.1141868512111,0.005505571678912411,0,3002577,786.0229616880002,33175.569400000015,32389.546438312012,12.962625208
0.0008,0.55,0.1,0.98,32389.546438312012,0.7612456747404844,289,220,69,0.34912323188,32718.712316955134,32589.546438312012,839,0.6282608695652174,0.5432525951557093,171,8,8,1000.1141868512111,0.005505571678912411,0,3002577,786.0229616880002,33175.569400000015,32389.546438312012,12.799603416
0.0008,0.55,0.1,0.985,32108.62710391201,0.7586206896551724,290,220,70,0.34912323188,32718.712316955134,32308.62710391201,843,0.625,0.5448275862068965,174,9,9,1000.1137931034483,0.005483679500412213,0,3002577,789.2222960880002,32897.849400000014,32108.62710391201,12.785357917
0.0008,0.55,0.125,0.965,-107.36677525600001,0.125,8,1,7,0.53683387628,200,92.63322474399999,840,0.6666666666666666,0.125,4,0,0,1000.25,0.03268817204301077,0,3002577,2.5967752560000004,-104.77000000000001,-107.36677525600001,12.835358
0.0008,0.55,0.125,0.97,-107.36677525600001,0.125,8,1,7,0.53683387628,200,92.63322474399999,840,0.6666666666666666,0.125,4,0,0,1000.25,0.03268817204301077,0,3002577,2.5967752560000004,-104.77000000000001,-107.36677525600001,14.139047792
0.0008,0.55,0.125,0.975,-107.36677525600001,0.125,8,1,7,0.53683387628,200,92.63322474399999,840,0.6666666666666666,0.125,4,0,0,1000.25,0.03268817204301077,0,3002577,2.5967752560000004,-104.77000000000001,-107.36677525600001,13.047323
0.0008,0.55,0.125,0.98,-107.36677525600001,0.125,8,1,7,0.53683387628,200,92.63322474399999,840,0.6666666666666666,0.125,4,0,0,1000.25,0.03268817204301077,0,3002577,2.5967752560000004,-104.77000000000001,-107.36677525600001,14.00050275
0.0008,0.55,0.125,0.985,-107.36677525600001,0.125,8,1,7,0.53683387628,200,92.63322474399999,844,0.6666666666666666,0.125,4,0,0,1000.25,0.03268817204301077,0,3002577,2.5967752560000004,-104.77000000000001,-107.36677525600001,13.004590042
0.0008,0.6,0.03,0.965,14189.93568284184,0.771505376344086,372,287,85,0.1257608934127857,14710.33948403792,14389.93568284184,946,0.6678635547576302,0.12634408602150538,185,8,8,1000.0860215053764,0.010330874083111539,0,3002577,349.24301715816017,14539.1787,14189.93568284184,13.236141375
0.0008,0.6,0.03,0.97,14189.93568284184,0.771505376344086,372,287,85,0.1257608934127857,14710.33948403792,14389.93568284184,946,0.6678635547576302,0.12634408602150538,185,8,8,1000.0860215053764,0.010330874083111539,0,3002577,349.24301715816017,14539.1787,14189.93568284184,14.490005959
