LATENCY_ARB_MOMENTUM_THRESHOLD,LATENCY_ARB_MAX_ASK,LATENCY_ARB_MAX_POSITION_FRACTION,pnl,win_rate,trades,wins,losses,max_dd,hwm,final_balance,signals,fill_rate,partial_fill_rate,no_fill_count,spread_legging_count,residual_position_count,avg_fill_latency_ms,avg_slippage,raw_event_batches,legacy_snapshot_batches,dislocation_regime_count,structural_pair_regime_count,calm_regime_count,dislocation_queued,structural_pair_queued,calm_queued,dislocation_filled,structural_pair_filled,calm_filled,dislocation_missed,structural_pair_missed,calm_missed,latency_arb_candidates,spread_capture_candidates,calm_persistence_candidates,router_blocked_count,capital_blocked_count,latency_spread_overlap_count,latency_calm_overlap_count,spread_calm_overlap_count,total_fees,gross_pnl,pnl_net,elapsed_s
0.001,0.65,0.075,757.5684835364802,0.75,108,81,27,0.19806060516056515,1139.0819235652802,957.5684835364802,18978,0.34285714285714286,0.1574074074074074,207,2,2,292.1111111111111,0.008971102275545638,10141915,0,8158667,5,1853141,66,4,245,59,2,47,7,2,198,69,3,18905,0,0,0,0,0,48.93751646352,806.5060000000002,757.5684835364802,256.944543458
0.001,0.65,0.1,885.6612094773602,0.75,108,81,27,0.21984760828566574,1307.6296494581602,1085.6612094773602,18978,0.34285714285714286,0.17592592592592593,207,2,2,292.1111111111111,0.008822268343607083,10141915,0,8158667,5,1853141,66,4,245,59,2,47,7,2,198,69,3,18905,0,0,0,0,0,60.939890522639985,946.6011000000002,885.6612094773602,242.264702458
0.001,0.65,0.125,1025.9174477823208,0.75,108,81,27,0.25826745253508204,1499.2539823631205,1225.9174477823208,18978,0.34285714285714286,0.2037037037037037,207,2,2,292.1111111111111,0.008706591695369017,10141915,0,8158667,5,1853141,66,4,245,59,2,47,7,2,198,69,3,18905,0,0,0,0,0,73.95445221767999,1099.8719000000008,1025.9174477823208,108.205623875
0.001,0.7,0.03,470.3686252470395,0.7697841726618705,139,107,32,0.14227496435232395,748.1844215430397,670.3686252470395,19224,0.6205357142857143,0.02877697841726619,85,2,2,291.0071942446043,0.010236543216405974,10141915,0,8227911,5,1872710,89,4,131,77,2,60,12,2,71,100,3,19120,0,0,0,0,0,29.84457475296001,500.2131999999995,470.3686252470395,109.864256209
0.001,0.7,0.05,603.7972252818399,0.7638888888888888,144,110,34,0.16618374482679232,903.9863988898398,803.7972252818399,19224,0.6343612334801763,0.05555555555555555,83,2,2,290.40972222222223,0.009808519371962199,10141915,0,8227911,5,1872710,92,4,131,82,2,60,10,2,71,100,3,19120,0,0,0,0,0,42.20847471815999,646.0056999999999,603.7972252818399,256.022571875
0.001,0.7,0.075,785.9665095154394,0.7638888888888888,144,110,34,0.1727379408167683,1087.9211562002392,985.9665095154394,19224,0.6343612334801763,0.09722222222222222,83,2,2,290.40972222222223,0.009691087563745343,10141915,0,8227911,5,1872710,92,4,131,82,2,60,10,2,71,100,3,19120,0,0,0,0,0,57.17619048456001,843.1426999999994,785.9665095154394,249.244601334
0.001,0.7,0.1,893.1081453695197,0.7638888888888888,144,110,34,0.2259731274849387,1199.3384892383197,1093.1081453695197,19224,0.6343612334801763,0.14583333333333334,83,2,2,290.40972222222223,0.00960293579330161,10141915,0,8227911,5,1872710,92,4,131,82,2,60,10,2,71,100,3,19120,0,0,0,0,0,69.89555463047999,963.0036999999996,893.1081453695197,109.022638583
0.001,0.7,0.125,1001.8133908546401,0.7638888888888888,144,110,34,0.27989029638363644,1335.12069812344,1201.8133908546401,19224,0.6343612334801763,0.1527777777777778,83,2,2,290.52777777777777,0.00964963022223308,10141915,0,8227911,5,1872710,92,4,131,82,2,60,10,2,71,100,3,19120,0,0,0,0,0,80.87390914535999,1082.6873,1001.8133908546401,109.700381917
0.0012,0.5,0.03,54.71919115999998,0.5625,16,9,7,0.11077670816286987,271.547693616,254.71919115999998,19114,0.019464720194647202,0.125,806,0,0,279.25,0.012114575134321206,10141915,0,8203073,5,1864497,5,0,817,5,0,11,0,0,806,9,3,19105,0,0,0,0,0,2.01580884,56.73499999999998,54.71919115999998,109.644447083
0.0012,0.5,0.05,68.15153666399999,0.5714285714285714,21,12,9,0.1757791729581198,308.59046158399997,268.151536664,19116,0.025362318840579712,0.09523809523809523,807,1,1,280.85714285714283,0.015491176043632439,10141915,0,8190475,5,1859812,9,2,817,9,1,11,0,1,806,9,3,19105,0,0,0,0,0,3.323463336,71.475,68.15153666399999,87.251665125
0.0012,0.5,0.075,68.69756438399997,0.5714285714285714,21,12,9,0.23301490885444132,332.33072732,268.697564384,19116,0.025362318840579712,0.09523809523809523,807,1,1,280.14285714285717,0.01333957784919494,10141915,0,8190475,5,1859812,9,2,817,9,1,11,0,1,806,9,3,19105,0,0,0,0,0,4.187435615999999,72.88499999999998,68.69756438399997,85.827111
0.0012,0.5,0.1,61.53474055840002,0.5714285714285714,21,12,9,0.28731314873869623,348.3747216144,261.5347405584,19116,0.025362318840579712,0.14285714285714285,807,1,1,280.14285714285717,0.014141784087579575,10141915,0,8190475,5,1859812,9,2,817,9,1,11,0,1,806,9,3,19105,0,0,0,0,0,5.1172594416,66.65200000000002,61.53474055840002,86.625532542
0.0012,0.5,0.125,53.42734346240002,0.6,20,12,8,0.3381462531811865,362.881811072,253.42734346240002,19114,0.026595744680851064,0.15,732,0,0,279.05,0.014299766745988736,10141915,0,8190475,5,1859812,9,0,743,9,0,11,0,0,732,9,3,19105,0,1544,0,0,0,5.794656537599999,59.222000000000016,53.42734346240002,86.365226792
0.0012,0.55,0.03,127.75968053951999,0.6551724137931034,29,19,10,0.08532852647293585,358.33595998751997,327.75968053952,19122,0.03913630229419703,0.10344827586206896,712,1,1,299.62068965517244,0.007650489928782697,10141915,0,8190475,5,1859812,12,2,727,10,1,18,2,1,709,15,3,19105,0,0,0,0,0,4.587719460479999,132.3474,127.75968053951999,85.225397209
0.0012,0.55,0.05,125.24713709152013,0.6451612903225806,31,20,11,0.11109911058580774,365.89808938752,325.24713709152013,19122,0.04172274562584118,0.0967741935483871,712,1,1,297.03225806451616,0.00921622373177611,10141915,0,8190475,5,1859812,14,2,727,12,1,18,2,1,709,15,3,19105,0,0,0,0,0,5.73026290848,130.97740000000013,125.24713709152013,108.0252715
0.0012,0.55,0.075,120.98973221952008,0.6451612903225806,31,20,11,0.1689389399851201,386.24085240351997,320.9897322195201,19122,0.04172274562584118,0.0967741935483871,712,1,1,297.03225806451616,0.010719787974444887,10141915,0,8190475,5,1859812,14,2,727,12,1,18,2,1,709,15,3,19105,0,0,0,0,0,7.0376677804800005,128.02740000000009,120.98973221952008,109.283360792
0.0012,0.55,0.1,110.29044799392005,0.6451612903225806,31,20,11,0.2290421749463153,402.47395889952,310.29044799392005,19122,0.04172274562584118,0.12903225806451613,712,1,1,297.03225806451616,0.011131813330389016,10141915,0,8190475,5,1859812,14,2,727,12,1,18,2,1,709,15,3,19105,0,0,0,0,0,8.22395200608,118.51440000000005,110.29044799392005,205.696819625
0.0012,0.55,0.125,94.10003824191989,0.6451612903225806,31,20,11,0.30151822849764254,421.05613953152,294.1000382419199,19122,0.043235704323570434,0.12903225806451613,686,1,1,297.03225806451616,0.01110412066502143,10141915,0,8190475,5,1859812,14,2,701,12,1,18,2,1,683,15,3,19105,0,393,0,0,0,9.304361758079997,103.40439999999988,94.10003824191989,254.056175208
0.0012,0.6,0.03,273.907175304,0.7551020408163265,49,37,12,0.061003705485247944,498.07646424800004,473.907175304,19136,0.08892921960072596,0.04081632653061224,502,2,2,296.6530612244898,0.00710338680926916,10141915,0,8190475,5,1859812,22,4,525,18,2,29,4,2,496,27,3,19105,0,0,0,0,0,9.622824696,283.53000000000003,273.907175304,256.10859725
0.0012,0.6,0.05,308.26913307768024,0.7450980392156863,51,38,13,0.10125079694092812,535.7500513336802,508.26913307768024,19136,0.0922242314647378,0.0392156862745098,502,2,2,295.19607843137254,0.008246991802530187,10141915,0,8190475,5,1859812,24,4,525,20,2,29,4,2,496,27,3,19105,0,0,0,0,0,12.21096692232,320.4801000000002,308.26913307768024,243.487194041
0.0012,0.6,0.075,347.5796027400802,0.7450980392156863,51,38,13,0.1512080290711407,583.4027693720802,547.5796027400802,19136,0.0922242314647378,0.0784313725490196,502,2,2,295.19607843137254,0.0092007795112553,10141915,0,8190475,5,1859812,24,4,525,20,2,29,4,2,496,27,3,19105,0,0,0,0,0,15.487497259920003,363.0671000000002,347.5796027400802,245.101643916
0.0012,0.6,0.1,377.57170725087997,0.7450980392156863,51,38,13,0.19794742611844823,627.93181106688,577.57170725088,19136,0.0922242314647378,0.11764705882352941,502,2,2,295.3137254901961,0.00953251387605134,10141915,0,8190475,5,1859812,24,4,525,20,2,29,4,2,496,27,3,19105,0,0,0,0,0,18.67889274912,396.25059999999996,377.57170725087997,240.821390167
0.0012,0.6,0.125,407.70891561279984,0.7450980392156863,51,38,13,0.2664115620804312,674.1634855967999,607.7089156127998,19136,0.0922242314647378,0.13725490196078433,502,2,2,295.3137254901961,0.009568721149973671,10141915,0,8190475,5,1859812,24,4,525,20,2,29,4,2,496,27,3,19105,0,0,0,0,0,22.144084387200007,429.85299999999984,407.70891561279984,107.751209542
0.0012,0.65,0.03,409.1850115644802,0.7875,80,63,17,0.10938713458911054,684.0065254204801,609.1850115644802,19151,0.2777777777777778,0.05,208,2,2,292.475,0.007589229745498735,10141915,0,8190475,5,1859812,37,4,247,31,2,47,6,2,200,42,3,19105,0,0,0,0,0,19.429388435519996,428.61440000000016,409.1850115644802,256.35723875
0.0012,0.65,0.05,485.4494373261598,0.7804878048780488,82,64,18,0.13037744545769456,788.2148798301597,685.4494373261598,19151,0.2827586206896552,0.10975609756097561,208,2,2,291.7439024390244,0.008671366050846894,10141915,0,8190475,5,1859812,39,4,247,33,2,47,6,2,200,42,3,19105,0,0,0,0,0,25.290062673840005,510.7394999999998,485.4494373261598,245.881229208
